Concat_Subtype_Element_Type,Weightings,Varient_Commment
Maintenance Building_Incomer,NULL,NULL
Maintenance Building_Internal Features,1,NULL
Maintenance Building_Internal Walls,4,NULL
Maintenance Building_Internal Walls,9,If load bearing or criticalfor security or noisecontrol.
Maintenance Building_Ladder,3,NULL
Maintenance Building_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Maintenance Building_Lighting,NULL,NULL
Maintenance Building_Maintenance Hole,3,NULL
Maintenance Building_Maintenance Hole,6,If element provides solemeans of undertakingmaintenance orinspection activity.
Maintenance Building_Padlock or Lock,6,NULL
Maintenance Building_Padlock or Lock,9,if critical to theoperation of the asset
Maintenance Building_Planted Elements,1,NULL
Maintenance Building_Roller Shutters,6,NULL
Maintenance Building_Roller Shutters,9,If element is critical foraccess/egress/security
Maintenance Building_Roof,8,NULL
Maintenance Building_Roof,9,If element is critical forsecurity or building is ofmajor significance
Maintenance Building_Security Camera,1,NULL
Maintenance Building_Security Camera,6,If Asset has a history ofsuffering from criminalactivity and the camerais a critical element ofthe security systemprotecting the Asset.
Maintenance Building_Sewage Treatment System,NULL,NULL
Maintenance Building_Solar Panel,NULL,NULL
Maintenance Building_Substructure,8,NULL
Maintenance Building_Substructure,9,if function /performance of theasset beingcompromised.
Maintenance Building_Transformer,NULL,NULL
Maintenance Building_Treads and Risers,3,NULL
Maintenance Building_Treads and Risers,7,if required foroperational access.
Maintenance Building_Uninterruptible Power Supply,NULL,NULL
Maintenance Building_Ventilation System,NULL,NULL
Maintenance Building_Waste Disposal System,NULL,NULL
Maintenance Building_Water Supply Plumbing System,9,NULL
Mine Adit_Access Point,9,NULL
Mine Adit_Access Point,3,"If an alternate access isavailable, for operationof the asset."
Mine Adit_Access Strip,9,NULL
Mine Adit_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Mine Adit_Animal Grid,2,NULL
Mine Adit_Animal Grid,6,If functioning of theAsset could be directlyaffected by animaldamage
Mine Adit_Borehole Cap,3,NULL
Mine Adit_Borehole Cap,9,If element is critical tothe protection ofgroundwater
Mine Adit_Cable Management,4,NULL
Mine Adit_Cable Management,7,If pipes carry control orpower cables
Mine Adit_Casing,5,NULL
Mine Adit_Casing,9,If element is critical tostructural integrity ofthe asset.
Mine Adit_Chamber,5,NULL
Mine Adit_Chamber,7,If element is critical foroperation.
Mine Adit_Climate Control,NULL,NULL
Mine Adit_Common Controls,NULL,NULL
Mine Adit_Cover or Door,1,NULL
Mine Adit_Datum Plates and Markers,2,NULL
Mine Adit_Datum Plates and Markers,5,If critical for datacalibration / qualitychecks.
Mine Adit_Distribution Board,NULL,NULL
Mine Adit_Distribution Network Operator Feeder,NULL,NULL
Mine Adit_Electrical System,NULL,NULL
Mine Adit_Electricity Sub Meter,NULL,NULL
Mine Adit_Equipment Housing,4,NULL
Mine Adit_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Mine Adit_Expansion Joint,5,NULL
Mine Adit_Expansion Joint,8,if failure could cause ajet of water to scour /erode foundations ofthe structure
Mine Adit_External Walls,6,NULL
Mine Adit_External Walls,9,If element deemed tobe load bearing orrequired for security
Mine Adit_Fastenings,7,NULL
Mine Adit_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Mine Adit_Fixings,3,NULL
Mine Adit_Floor,8,NULL
Mine Adit_Floor,9,if affected area can't beisolated and preventsthe operation of theasset as a whole.
Mine Adit_Foundation,9,NULL
Mine Adit_Frame,8,NULL
Mine Adit_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Mine Adit_Grassed Elements,1,NULL
Mine Adit_Incomer,NULL,NULL
Mine Adit_Ladder,3,NULL
Mine Adit_Ladder,5,"if element is consideredcritical to access, egressor security or to theoverall asset function."
Mine Adit_Lifting Chains and Sprockets,NULL,NULL
Mine Adit_Lighting,NULL,NULL
Mine Adit_Maintenance Hole,3,NULL
Mine Adit_Maintenance Hole,6,If element provides solemeans of undertakingmaintenance orinspection activity.
Mine Adit_Measurement Scale,1,NULL
Mine Adit_Padlock or Lock,6,NULL
Mine Adit_Padlock or Lock,9,if critical to theoperation of the asset
Mine Adit_Pipe,6,NULL
Mine Adit_Pipe,9,If fully fuctionality ofthe assets is dependentsolely on the pipe beingassessed.
Mine Adit_Pipe Flange,6,NULL
Mine Adit_Pipe Flange,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Mine Adit_Pipe Sleeve,3,NULL
Mine Adit_Pipe T Piece,6,NULL
Mine Adit_Pipe T Piece,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Mine Adit_Pipe Valve,6,NULL
Mine Adit_Pipe Valve,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Mine Adit_Pipework,6,NULL
Mine Adit_Pipework,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Mine Adit_Planted Elements,1,NULL
Mine Adit_Relay Control,NULL,NULL
Mine Adit_Seals,5,NULL
Mine Adit_Seals,7,If element is critical forasset function
Mine Adit_Shaft,7,NULL
Mine Adit_Solar Panel,NULL,NULL
Mine Adit_Struts and Bracing,7,NULL
Mine Adit_Substructure,8,NULL
Mine Adit_Substructure,9,if function /performance of theasset beingcompromised.
Mine Adit_Transformer,NULL,NULL
Mine Adit_Treads and Risers,3,NULL
Mine Adit_Treads and Risers,7,if required foroperational access.
Mine Adit_Vertical Extended Spindle,NULL,NULL
Mine Adit_Wind Turbine,NULL,NULL
Mine Shaft_Access Point,9,NULL
Mine Shaft_Access Point,3,"If an alternate access isavailable, for operationof the asset."
Mine Shaft_Access Strip,9,NULL
Mine Shaft_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Mine Shaft_Animal Grid,2,NULL
Mine Shaft_Animal Grid,6,If functioning of theAsset could be directlyaffected by animaldamage
Mine Shaft_Borehole Cap,3,NULL
Mine Shaft_Borehole Cap,9,If element is critical tothe protection ofgroundwater
Mine Shaft_Cable Management,4,NULL
Mine Shaft_Cable Management,7,If pipes carry control orpower cables
Mine Shaft_Casing,5,NULL
Mine Shaft_Casing,9,If element is critical tostructural integrity ofthe asset.
Mine Shaft_Chamber,5,NULL
Mine Shaft_Chamber,7,If element is critical foroperation.
Mine Shaft_Climate Control,NULL,NULL
Mine Shaft_Common Controls,NULL,NULL
Mine Shaft_Cover or Door,1,NULL
Mine Shaft_Datum Plates and Markers,2,NULL
Mine Shaft_Datum Plates and Markers,5,If critical for datacalibration / qualitychecks.
Mine Shaft_Distribution Board,NULL,NULL
Mine Shaft_Distribution Network Operator Feeder,NULL,NULL
Mine Shaft_Electrical System,NULL,NULL
Mine Shaft_Electricity Sub Meter,NULL,NULL
Mine Shaft_Equipment Housing,4,NULL
Mine Shaft_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Mine Shaft_Expansion Joint,5,NULL
Mine Shaft_Expansion Joint,8,if failure could cause ajet of water to scour /erode foundations ofthe structure
Mine Shaft_External Walls,6,NULL
Mine Shaft_External Walls,9,If element deemed tobe load bearing orrequired for security
Mine Shaft_Fastenings,7,NULL
Mine Shaft_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Mine Shaft_Fixings,3,NULL
Mine Shaft_Floor,8,NULL
Mine Shaft_Floor,9,if affected area can't beisolated and preventsthe operation of theasset as a whole.
Mine Shaft_Foundation,9,NULL
Mine Shaft_Frame,8,NULL
Mine Shaft_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Mine Shaft_Grassed Elements,1,NULL
Mine Shaft_Incomer,NULL,NULL
Mine Shaft_Ladder,3,NULL
Mine Shaft_Ladder,5,"if element is consideredcritical to access, egressor security or to theoverall asset function."
Mine Shaft_Lifting Chains and Sprockets,NULL,NULL
Mine Shaft_Lighting,NULL,NULL
Mine Shaft_Maintenance Hole,3,NULL
Mine Shaft_Maintenance Hole,6,If element provides solemeans of undertakingmaintenance orinspection activity.
Mine Shaft_Measurement Scale,1,NULL
Mine Shaft_Padlock or Lock,6,NULL
Mine Shaft_Padlock or Lock,9,if critical to theoperation of the asset
Mine Shaft_Pipe,6,NULL
Mine Shaft_Pipe,9,If fully fuctionality ofthe assets is dependentsolely on the pipe beingassessed.
Mine Shaft_Pipe Flange,6,NULL
Mine Shaft_Pipe Flange,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Mine Shaft_Pipe Sleeve,3,NULL
Mine Shaft_Pipe T Piece,6,NULL
Mine Shaft_Pipe T Piece,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Mine Shaft_Pipe Valve,6,NULL
Mine Shaft_Pipe Valve,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Mine Shaft_Pipework,6,NULL
Mine Shaft_Pipework,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Mine Shaft_Planted Elements,1,NULL
Mine Shaft_Relay Control,NULL,NULL
Mine Shaft_Seals,5,NULL
Mine Shaft_Seals,7,If element is critical forasset function
Mine Shaft_Shaft,7,NULL
Mine Shaft_Solar Panel,NULL,NULL
Mine Shaft_Struts and Bracing,7,NULL
Mine Shaft_Substructure,8,NULL
Mine Shaft_Substructure,9,if function /performance of theasset beingcompromised.
Mine Shaft_Transformer,NULL,NULL
Mine Shaft_Treads and Risers,3,NULL
Mine Shaft_Treads and Risers,7,if required foroperational access.
Mine Shaft_Vertical Extended Spindle,NULL,NULL
Mine Shaft_Wind Turbine,NULL,NULL
Monitoring Building_Access Strip,9,NULL
Monitoring Building_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Monitoring Building_Alternator,NULL,NULL
Monitoring Building_Beams,8,NULL
Monitoring Building_Beams,9,If element deemed tobe load bearing
Monitoring Building_Cable and Pipe Management,4,NULL
Monitoring Building_Cable and Pipe Management,7,If cables or pipes areintegral to operation ofthe building
Monitoring Building_Ceiling,4,NULL
Monitoring Building_Civils,4,NULL
Monitoring Building_Climate Control,NULL,NULL
Monitoring Building_Datum Plates and Markers,4,NULL
Monitoring Building_Datum Plates and Markers,7,If critical for datacalibration / qualitychecks.
Monitoring Building_Distribution Board,NULL,NULL
Monitoring Building_Distribution Network Operator Feeder,NULL,NULL
Monitoring Building_Doors and Windows,6,NULL
Monitoring Building_Doors and Windows,9,If element is critical foraccess/egress/security
Monitoring Building_Drainage System,5,NULL
Monitoring Building_Drainage System,9,"if failure could not bemitigated and wouldcause a H,S&W /pollution incident."
Monitoring Building_Electrical System,NULL,NULL
Monitoring Building_Electricity Meter,NULL,NULL
Monitoring Building_Electricity Sub Meter,NULL,NULL
Monitoring Building_Equipment Mounting Board,3,NULL
Monitoring Building_Equipment Mounting Board,9,if board supportsequipment critical tothe operation of theasset and the lack ofsupport would makethem inoperable.
Monitoring Building_External Features,4,NULL
Monitoring Building_External Features,6,if feature protectsstructural elementsfrom deterioration orrequired for security.
Monitoring Building_External Walls,8,NULL
Monitoring Building_External Walls,9,If element deemed tobe load bearing orrequired for security
Monitoring Building_Fastenings,7,NULL
Monitoring Building_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Monitoring Building_Fire Protection,NULL,NULL
Monitoring Building_Fixed Fall Arrest System,NULL,NULL
Monitoring Building_Fixings,3,NULL
Monitoring Building_Floor,8,NULL
Monitoring Building_Floor,9,if affected area can't beisolated and preventsthe operation of theasset as a whole.
Monitoring Building_Foundation,9,NULL
Monitoring Building_Frame,8,NULL
Monitoring Building_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Monitoring Building_Fuel Cell,NULL,NULL
Monitoring Building_Gas System,NULL,NULL
Monitoring Building_Grassed Elements,1,NULL
Monitoring Building_Habitat Enhancement,1,NULL
Monitoring Building_Heating System,NULL,NULL
Monitoring Building_Hydro Turbine,NULL,NULL
Monitoring Building_Incomer,NULL,NULL
Monitoring Building_Internal Features,1,NULL
Monitoring Building_Internal Walls,4,NULL
Monitoring Building_Internal Walls,9,If load bearing or criticalfor security.
Monitoring Building_Ladder,3,NULL
Monitoring Building_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Monitoring Building_Lighting,NULL,NULL
Monitoring Building_Maintenance Hole,3,NULL
Monitoring Building_Maintenance Hole,6,If element provides solemeans of undertakingmaintenance orinspection activity.
Monitoring Building_Padlock or Lock,6,NULL
Monitoring Building_Padlock or Lock,9,if critical to theoperation of the asset
Monitoring Building_Planted Elements,1,NULL
Monitoring Building_Roller Shutters,6,NULL
Monitoring Building_Roller Shutters,9,If element is critical foraccess/egress/security
Monitoring Building_Roof,8,NULL
Monitoring Building_Roof,9,If element is critical forsecurity or building is ofmajor significance
Monitoring Building_Security Camera,1,NULL
Monitoring Building_Security Camera,6,If Asset has a history ofsuffering from criminalactivity and the camerais a critical element ofthe security systemprotecting the Asset.
Monitoring Building_Sewage Treatment System,NULL,NULL
Monitoring Building_Solar Panel,NULL,NULL
Monitoring Building_Substructure,8,NULL
Monitoring Building_Substructure,9,if function /performance of theasset beingcompromised.
Monitoring Building_Transformer,NULL,NULL
Monitoring Building_Treads and Risers,3,NULL
Monitoring Building_Treads and Risers,7,if required foroperational access.
Monitoring Building_Uninterruptible Power Supply,NULL,NULL
Monitoring Building_Ventilation System,NULL,NULL
Monitoring Building_Waste Disposal System,NULL,NULL
Monitoring Building_Water Supply Plumbing System,7,NULL
Monitoring Building_Water Supply Plumbing System,9,If critical for theoperation of the assetand no alternativearrangement areavailable.
Mooring_Access Strip,6,NULL
Mooring_Access Strip,3,If an alternate accessfor regular maintenanceis available.
Mooring_Anchor and Chain,6,NULL
Mooring_Anchor and Chain,9,If sole restraint
Mooring_Bearing Piling,7,NULL
Mooring_Bearing Piling,8,If element deemed tobe structurallysignificant orcontributes to flood riskmanagement.
Mooring_Buoyancy Aid,1,NULL
Mooring_Buoyancy Aid,3,if asset is accessible togeneral member of thepublic. Use variant ifelement plays a safetycritical role
Mooring_Capping Beam,6,NULL
Mooring_Channel Side,7,NULL
Mooring_Channel Side,9,If mooring is less than 3metres wide.
Mooring_Deck,7,NULL
Mooring_Deck,9,If Deck is over water.
Mooring_Fender,5,NULL
Mooring_Floats,7,NULL
Mooring_Floats,9,If floats are essential tothe stability of themooring.
Mooring_Gantry,1,NULL
Mooring_Gantry,5,If failure wouldcompromise operation.
Mooring_Guide Pile,8,NULL
Mooring_Guide Pile,9,Do not use variant -awaiting full weightingsreview as part of OBC
Mooring_Mooring Pile,7,NULL
Mooring_Mooring Pile,9,If element categorisedas Critical to overallasset function
Mooring_Mooring Point,6,NULL
Mooring_Mooring Point,9,If element is asingle/only mooringpoint or critical fornavigation oroperational access
Mooring_Navigation Light,3,NULL
Mooring_Piling,7,NULL
Mooring_Piling,8,If element deemed tobe structurallysignificant orcontributes to flood riskmanagement.
Mooring_Pump Out Point,2,NULL
Mooring_Pump Out Point,9,Consider variant ifprimary purpose ofmooring is for servicingboats.
Mooring_Service Pedestal,3,NULL
Mooring_Sheet Piling,7,NULL
Mooring_Sheet Piling,9,If mooring is less than 3metres wide.
Mooring_Slope,3,NULL
Mooring_Treads and Risers,3,NULL
Mooring_Treads and Risers,7,if required foroperational access.
Mooring_Water Point,NULL,NULL
Motor Control Centre Controls_Common Controls,NULL,NULL
Motor Control Centre Controls_Distribution Board,NULL,NULL
Motor Control Centre Controls_Distribution Network Operator Feeder,NULL,NULL
Motor Control Centre Controls_Electrical System,NULL,NULL
Motor Control Centre Controls_Electricity Meter,NULL,NULL
Motor Control Centre Controls_Electricity Sub Meter,NULL,NULL
Motor Control Centre Controls_Incomer,NULL,NULL
Motor Control Centre Controls_Modem,NULL,NULL
Motor Control Centre Controls_Network,NULL,NULL
Motor Control Centre Controls_Padlock or Lock,6,NULL
Motor Control Centre Controls_Padlock or Lock,9,if critical to theoperation of the asset
Motor Control Centre Controls_Programmable Logic Computers,NULL,NULL
Motor Control Centre Controls_Relay Control,NULL,NULL
Motor Control Centre Controls_Router,NULL,NULL
Motor Control Centre Controls_Starter,NULL,NULL
Motor Control Centre Controls_Transformer,NULL,NULL
Mudflats_Access Strip,3,NULL
Natural High Ground_Berm,1,NULL
Natural High Ground_Channel Side,5,NULL
Natural High Ground_Channel Side,7,If less than 3 metreshorizontally from asset.
Natural High Ground_High Ground,3,NULL
Natural High Ground_High Ground,1,If High ground risessteeply away fromchannel side or coast
Natural High Ground_Shore,1,NULL
Natural High Ground_Shore,5,If the Shore provideserosion protection tothe channel side.
Natural Spring_Channel Bed,7,NULL
Natural Spring_Channel Bed,9,"If the Channel Bedprovides structuralsupport or erosionprotection, and there isevidence of scour."
Natural Spring_Left Bank,7,NULL
Natural Spring_Left Bank,9,If element is critical forthe asset to performmonitoring / flowcalculation / levelmeasurement functionor if failure would blocka significant proportionof the channel.
Natural Spring_Left Berm,5,NULL
Natural Spring_Left Berm,7,If element is requiredfor access or providesstructural support /erosion protection toadjacent structures.
Natural Spring_Right Bank,7,NULL
Natural Spring_Right Bank,9,If element is critical forthe asset to performmonitoring / flowcalculation / levelmeasurement functionor if failure would blocka significant proportionof the channel.
Natural Spring_Right Berm,5,NULL
Natural Spring_Right Berm,7,If element is requiredfor access or providesstructural support /erosion protection toadjacent structures.
Navigation Boom_Anchor and Chain,9,NULL
Navigation Boom_Central Support Structure,9,NULL
Navigation Boom_Central Support Structure,4,If asset does notperform a safetyfunction (e.g. controlsaccess to private watersor marinas).
Navigation Boom_Floats,9,NULL
Navigation Boom_Floats,4,If sole function is toprotect piles.
Navigation Boom_Gantry,1,NULL
Navigation Boom_Gantry,5,If failure wouldcompromise operation.
Navigation Boom_Guide Pile,9,NULL
Navigation Boom_Guide Pile,7,If single guide pile.
Navigation Boom_Ladder,3,NULL
Navigation Boom_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Navigation Boom_Left Bank Wall,6,NULL
Navigation Boom_Left Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Navigation Boom_Post,9,NULL
Navigation Boom_Right Bank Wall,6,NULL
Navigation Boom_Right Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Navigation Boom_Ropes,9,NULL
Navigation Signage_Civils,4,NULL
Navigation Signage_Electrical System,NULL,NULL
Navigation Signage_Equipment Housing,4,NULL
Navigation Signage_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Navigation Signage_Foghorn,NULL,NULL
Navigation Signage_Navigation Light,3,NULL
Navigation Signage_Post,8,NULL
Navigation Signage_Post,9,If element is critical forasset function
Navigation Signage_Sign,7,NULL
Navigation Signage_Solar Panel,NULL,NULL
Navigation Signage_Wind Turbine,NULL,NULL
Office Building_Access Strip,9,NULL
Office Building_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Office Building_Alternator,NULL,NULL
Office Building_Beams,8,NULL
Office Building_Beams,9,If element deemed tobe load bearing
Office Building_Cable and Pipe Management,4,NULL
Office Building_Cable and Pipe Management,7,If cables or pipes areintegral to operation ofthe building
Office Building_Ceiling,4,NULL
Office Building_Climate Control,NULL,NULL
Office Building_Datum Plates and Markers,2,NULL
Office Building_Datum Plates and Markers,5,If critical for datacalibration / qualitychecks.
Office Building_Distribution Board,NULL,NULL
Office Building_Distribution Network Operator Feeder,NULL,NULL
Office Building_Doors and Windows,6,NULL
Office Building_Doors and Windows,9,If element is critical foraccess/egress/security
Office Building_Drainage System,5,NULL
Office Building_Drainage System,9,if failure could not bemitigated and would
Office Building_Electrical System,NULL,NULL
Office Building_Electricity Meter,NULL,NULL
Office Building_Electricity Sub Meter,NULL,NULL
Office Building_Equipment Mounting Board,3,NULL
Office Building_Equipment Mounting Board,9,if board supportsequipment critical tothe operation of theasset and the lack ofsupport would makethem inoperable.
Office Building_External Features,4,NULL
Office Building_External Features,6,if feature protectsstructural elementsfrom deterioration orrequired for security.
Office Building_External Walls,8,NULL
Office Building_External Walls,9,If element deemed tobe load bearing orrequired for security
Office Building_Fastenings,7,NULL
Office Building_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Office Building_Fire Protection,NULL,NULL
Office Building_Fixed Fall Arrest System,NULL,NULL
Office Building_Fixings,3,NULL
Office Building_Floor,8,NULL
Office Building_Floor,9,if affected area can't beisolated and preventsthe operation of theasset as a whole.
Office Building_Foundation,9,NULL
Office Building_Frame,8,NULL
Office Building_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Office Building_Fuel Cell,NULL,NULL
Office Building_Gas System,NULL,NULL
Office Building_Grassed Elements,1,NULL
Office Building_Habitat Enhancement,1,NULL
Office Building_Heating System,NULL,NULL
Office Building_Hydro Turbine,NULL,NULL
Office Building_Incomer,NULL,NULL
Office Building_Internal Features,1,NULL
Office Building_Internal Walls,4,NULL
Office Building_Internal Walls,9,If load bearing or criticalfor security.
Office Building_Ladder,3,NULL
Office Building_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Office Building_Lighting,NULL,NULL
Office Building_Maintenance Hole,3,NULL
Office Building_Maintenance Hole,6,If element provides solemeans of undertakingmaintenance orinspection activity.
Office Building_Padlock or Lock,6,NULL
Office Building_Padlock or Lock,9,if critical to theoperation of the asset
Office Building_Planted Elements,1,NULL
Office Building_Roller Shutters,6,NULL
Office Building_Roller Shutters,9,If element is critical foraccess/egress/security
Office Building_Roof,8,NULL
Office Building_Roof,9,If element is critical forsecurity or building is ofmajor significance
Office Building_Security Camera,1,NULL
Office Building_Security Camera,6,If Asset has a history ofsuffering from criminalactivity and the camerais a critical element ofthe security systemprotecting the Asset.
Office Building_Sewage Treatment System,NULL,NULL
Office Building_Solar Panel,NULL,NULL
Office Building_Substructure,8,NULL
Office Building_Substructure,9,if function /performance of theasset beingcompromised.
Office Building_Transformer,NULL,NULL
Office Building_Treads and Risers,3,NULL
Office Building_Treads and Risers,7,if required foroperational access.
Office Building_Uninterruptible Power Supply,NULL,NULL
Office Building_Ventilation System,NULL,NULL
Office Building_Waste Disposal System,NULL,NULL
Office Building_Water Supply Plumbing System,9,NULL
Open Channel_Channel Bed,7,NULL
Open Channel_Channel Bed,9,"If the Channel Bedprovides structuralsupport or erosionprotection, and there isevidence of scour."
Open Channel_Fish Guidance and Deterrents,NULL,NULL
Open Channel_Gantry,1,NULL
Open Channel_Gantry,5,If failure wouldcompromise operation.
Open Channel_Left Bank,7,NULL
Open Channel_Left Bank,9,If element is critical forthe asset to performmonitoring / flowcalculation / levelmeasurement functionor if failure would block
Open Channel_Left Berm,5,NULL
Open Channel_Left Berm,7,If element is requiredfor access or providesstructural support /erosion protection toadjacent structures.
Open Channel_Right Bank,7,NULL
Open Channel_Right Bank,9,If element is critical forthe asset to performmonitoring / flowcalculation / levelmeasurement functionor if failure would blocka significant proportionof the channel.
Open Channel_Right Berm,5,NULL
Open Channel_Right Berm,7,If element is requiredfor access or providesstructural support /erosion protection toadjacent structures.
Open Channel_Silt Trap,1,NULL
Open Channel_Silt Trap,5,"If watercourse is steep,upland and/or carriesheavy sediment load."
Outfall_Actuator,NULL,NULL
Outfall_Apron,5,NULL
Outfall_Apron,3,If apron structure is ofminor significance andfailure will not induceasset failure.
Outfall_Balance Weight,NULL,NULL
Outfall_Dampers,NULL,NULL
Outfall_Davit,NULL,NULL
Outfall_Downstream Headwall,8,NULL
Outfall_Downstream Headwall,6,"If flood flows are likelyto be slow (<1m/s),failure would notcompromise flows inthe short term andheadwall does notsupport anembankment orinfrastructure above."
Outfall_Fixed Fall Arrest System,NULL,NULL
Outfall_Flap Valve,9,NULL
Outfall_Flap Valve,7,If a secondary nonreturn valve or penstockis installed.
Outfall_Frame,7,NULL
Outfall_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Outfall_Gantry,1,NULL
Outfall_Gantry,5,If failure wouldcompromise operation.
Outfall_Jib Crane,NULL,NULL
Outfall_Ladder,3,NULL
Outfall_Ladder,5,"if element is consideredcritical to access, egressor security or to theoverall asset function."
Outfall_Motor,NULL,NULL
Outfall_Overhead Crane,NULL,NULL
Outfall_Pet Flap,4,NULL
Outfall_Pet Flap,1,"If opening is small andfailure would not affectprimary function (e.g.,increase flood risk)."
Outfall_Pipe,6,NULL
Outfall_Pipe,9,If full functionality ofthe assets is dependentsolely on the pipe beingassessed.
Outfall_Springs,NULL,NULL
Outfall_Stoplogs and Lasherboards,3,NULL
Outfall_Stoplogs and Lasherboards,9,If required to performfrequent maintenanceor inspection activities
Outfall_Treads and Risers,3,NULL
Outfall_Treads and Risers,7,if required foroperational access.
Outfall_Upstream Headwall,8,NULL
Outfall_Upstream Headwall,6,"If flood flows are likelyto be slow (<1m/s),failure would notcompromise flows inthe short term andheadwall does notsupport an"
Outfall_Winch,NULL,NULL
Pier_Access Point,9,NULL
Pier_Access Point,3,"If an alternate access isavailable, for operationof the asset."
Pier_Access Strip,9,NULL
Pier_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Pier_Beams,8,NULL
Pier_Beams,9,If element deemed tobe load bearing.
Pier_Datum Plates and Markers,2,NULL
Pier_Datum Plates and Markers,5,If critical for datacalibration / qualitychecks.
Pier_Deck,7,NULL
Pier_Deck,9,If Deck is over water.
Pier_External Features,4,NULL
Pier_External Features,6,If feature protectsstructural elementsfrom deterioration orrequired for security.
Pier_Fastenings,7,NULL
Pier_Fastenings,1,If item secured and itdoes not directlycontribute towards theperformance of theassets.
Pier_Ladder,3,NULL
Pier_Ladder,5,"If element is consideredcritical to access, egressor security or to theoverall asset function."
Pier_Mast,3,NULL
Pier_Mast,9,If element supportsnavigation or securityequipment.
Pier_Mooring Point,6,NULL
Pier_Mooring Point,9,If element is asingle/only mooringpoint or critical fornavigation oroperational access.
Pier_Navigation Light,3,NULL
Pier_Padlock or Lock,6,NULL
Pier_Padlock or Lock,9,If critical to theoperation of the asset.
Pier_Pillar,8,NULL
Pier_Pillar,9,If element is critical tostructural integrity ofthe asset.
Pier_Post,2,NULL
Pier_Post,3,If element is critical forasset function.
Pier_Substructure,8,NULL
Pier_Substructure,9,If function /performance of theasset beingcompromised.
Piezometer_Access Point,6,NULL
Piezometer_Access Point,3,If an alternate accessfor regular maintenanceis available.
Piezometer_Access Strip,6,NULL
Piezometer_Access Strip,3,If an alternate accessfor regular maintenanceis available.
Piezometer_Animal Grid,2,NULL
Piezometer_Animal Grid,6,If functioning of theAsset could be directlyaffected by animaldamage.
Piezometer_Control Equipment,NULL,NULL
Piezometer_Cover or Hatch,1,NULL
Piezometer_Data Logger,NULL,NULL
Piezometer_Datum Plates and Markers,4,NULL
Piezometer_Datum Plates and Markers,7,If element is critical fordata calibration /quality checks.
Piezometer_Davit,NULL,NULL
Piezometer_Daymark,3,NULL
Piezometer_Equipment Housing,4,NULL
Piezometer_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Piezometer_Fastenings,7,NULL
Piezometer_Fastenings,1,If item secured and itdoes not directlycontribute towards theperformance of theassets.
Piezometer_Fixings,3,NULL
Piezometer_Foundation,9,NULL
Piezometer_Kerbs,1,NULL
Piezometer_Maintenance Hole,3,NULL
Piezometer_Maintenance Hole,6,If element provides solemeans of undertakingmaintenance orinspection activity.
Piezometer_Measurement Scale,7,NULL
Piezometer_Measurement Scale,9,If sole means ofmeasuring a value.
Piezometer_Outstation,NULL,NULL
Piezometer_Sensor,7,NULL
Piezometer_Sensor,9,If the sensor is critical tothe operation of theasset and there is noinbuild back-up oralternative operationalconfiguration.
Piezometer_Treads and Risers,3,NULL
Piezometer_Treads and Risers,7,If required foroperational access.
Precipitation Compound_Access Point,9,NULL
Precipitation Compound_Access Point,3,"If an alternate access isavailable, for operationof the asset."
Precipitation Compound_Access Strip,6,NULL
Precipitation Compound_Access Strip,3,If an alternate accessfor regular maintenanceis available.
Precipitation Compound_Animal Grid,2,NULL
